eon,era,period,epoch,age,chron,ma
hadean,hadean,hadean,hadean,hadean,hadean,4600
archean,eoarchean,,,,,4031
archean,paleoarchean,,,,,3600
archean,mesoarchean,,,,,3200
archean,neoarchean,,,,,2800
proterozoic,paleoproterozoic,siderian,,,,2500
proterozoic,paleoproterozoic,rhyacian,,,,2300
proterozoic,paleoproterozoic,orosirian,,,,2050
proterozoic,paleoproterozoic,statherian,,,,1800
proterozoic,mesoproterozoic,calymmian,,,,1600
proterozoic,mesoproterozoic,ectasian,,,,1400
proterozoic,mesoproterozoic,stenian,,,,1200
proterozoic,neoproterozoic,tonian,,,,1000
proterozoic,neoproterozoic,cryogenian,,,,720
proterozoic,neoproterozoic,ediacaran,,,,635
phanerozoic,paleozoic,cambrian,,,,538.8
phanerozoic,paleozoic,ordovician,,,,485.4
phanerozoic,paleozoic,silurian,,,,443.8
phanerozoic,paleozoic,devonian,,,,419.2
phanerozoic,paleozoic,carboniferos,,,,358.9
phanerozoic,paleozoic,permian,,,,298.9
phanerozoic,mesozoic,triassic,,,,251.9
phanerozoic,mesozoic,jurassic,,,,201.4
phanerozoic,mesozoic,cretaceous,,,,145
phanerozoic,cenozoic,paleogene,paleocene,,,66
phanerozoic,cenozoic,paleogene,eocene,,,56
phanerozoic,cenozoic,paleogene,oligocene,,,33.9
phanerozoic,cenozoic,neogene,miocene,,,23.03
phanerozoic,cenozoic,neogene,pliocene,,,5.333
phanerozoic,cenozoic,quaternary,pleistocene,,,2.58
phanerozoic,cenozoic,quaternary,holocene,,,0.0117
